,ingredient,class,reason,int_label,prompt
1036,"oil, cottonseed, partially hydrogenated",harmful,"Partially hydrogenated cottonseed oil contains trans fats which are known to raise bad cholesterol levels (LDL) and lower good cholesterol levels (HDL), increasing the risk of heart disease. It is considered harmful to human health.",1,"Ingredient: oil, cottonseed, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1037,"oil, dill seed",controversial,"The impact of oil on human health can vary depending on the type of oil consumed. While some oils like olive oil are considered healthy when consumed in moderation, others like palm oil are associated with negative health effects. It is important to consider the type and amount of oil consumed to determine its overall impact on health.",0,"Ingredient: oil, dill seed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1038,"oil, eucalyptus",controversial,"While eucalyptus oil is generally safe when used in small amounts, it can be toxic if ingested in large quantities. Additionally, some people may be sensitive to eucalyptus oil and experience skin irritation or allergic reactions. It is important to use eucalyptus oil carefully and consult with a healthcare professional when in doubt.",0,"Ingredient: oil, eucalyptus
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1039,"oil, galangal root",controversial,"The impact of oil on human health can vary depending on the type of oil. While some oils like olive oil are considered beneficial when consumed in moderation, others like trans fats can be harmful. It's important to consider the type and amount of oil consumed.",0,"Ingredient: oil, galangal root
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1040,"oil, grape seed",not harmful,"Grape seed oil is rich in antioxidants, unsaturated fats, and vitamin E, which can have potential health benefits such as reducing inflammation and improving heart health. It is generally considered a healthy option for cooking and skincare.",2,"Ingredient: oil, grape seed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1041,"oil, hazelnut",not harmful,"Hazelnut oil is rich in monounsaturated fats, vitamin E, and other antioxidants that can have positive effects on heart health and overall well-being. It is considered a healthy alternative to other cooking oils.",2,"Ingredient: oil, hazelnut
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1042,"oil, hemp",not harmful,"Hemp oil is known for its health benefits, including being a good source of omega-3 and omega-6 fatty acids which are important for heart health. It also contains antioxidants and is often used in cooking as a healthier alternative to other oils.",2,"Ingredient: oil, hemp
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1043,"oil, high oleic canola",not harmful,"High oleic canola oil is a type of canola oil that is high in monounsaturated fats, which are considered heart-healthy. It also contains omega-3 fatty acids and is low in saturated fats, making it a healthier option compared to other types of oils.",2,"Ingredient: oil, high oleic canola
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1044,"oil, high oleic safflower",not harmful,"High oleic safflower oil is high in monounsaturated fats, which can have positive effects on heart health by reducing bad cholesterol levels. It is considered a healthier option compared to oils high in saturated fats.",2,"Ingredient: oil, high oleic safflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1045,"oil, high oleic soybean",not harmful,"High oleic soybean oil is high in monounsaturated fats, specifically oleic acid, which is associated with various health benefits such as reducing bad cholesterol levels and lowering the risk of heart disease. It is considered a healthier option compared to oils high in saturated fats.",2,"Ingredient: oil, high oleic soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1046,"oil, high oleic sunflower",not harmful,"High oleic sunflower oil is a type of oil that is high in monounsaturated fats, which are considered heart-healthy. It is also low in saturated fats and contains no trans fats, making it a healthier option compared to other types of oils.",2,"Ingredient: oil, high oleic sunflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1047,"oil, hydrogenatd soybean",harmful,"Hydrogenated soybean oil contains trans fats, which are known to increase LDL cholesterol levels and the risk of heart disease. Consuming trans fats has been linked to various health issues, making hydrogenated soybean oil harmful to human health.",1,"Ingredient: oil, hydrogenatd soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1048,"oil, hydrogenatd soybean, partially hydrogenated soybean",harmful,"Partially hydrogenated oils, including hydrogenated soybean oil, contain trans fats which are known to increase bad cholesterol and lower good cholesterol levels, thereby increasing the risk of heart disease. The consumption of partially hydrogenated oils has been linked to various health issues, making them harmful to human health.",1,"Ingredient: oil, hydrogenatd soybean, partially hydrogenated soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1049,"oil, jasmine",not harmful,"Oil, in general, is a common ingredient used in cooking and skincare products. Jasmine is a flower often used for its fragrance in perfumes and aromatherapy. Both oil and jasmine are not known to have harmful effects on human health when used appropriately.",2,"Ingredient: oil, jasmine
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1050,"oil, lavender",not harmful,"Both oil and lavender are generally considered safe for most individuals when used appropriately. Oil can come from various sources such as olive, coconut, etc., which are essential components of a balanced diet. Lavender, often used in aromatherapy, has soothing properties. However, individuals with specific allergies or sensitivities should use them with caution.",2,"Ingredient: oil, lavender
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1051,"oil, lemon",controversial,"The impact of oil on human health depends on the type and amount consumed. While some oils like olive oil can have health benefits, others high in saturated fats can be harmful in excess.",0,"Ingredient: oil, lemon
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1052,"oil, lemon balm",not harmful,"Healthy oils such as olive oil and coconut oil are beneficial for human health when consumed in moderation, providing essential fatty acids and other nutrients.",2,"Ingredient: oil, lemon balm
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1053,"oil, linseed",not harmful,"Linseed oil, extracted from flaxseeds, is rich in omega-3 fatty acids and has been linked to several health benefits including improved heart health, reduced inflammation, and improved skin health. When consumed in moderation, linseed oil is considered beneficial for human health.",2,"Ingredient: oil, linseed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1054,"oil, mandarin",controversial,"While some types of oils can be unhealthy due to high levels of saturated fats and trans fats, others like olive or avocado oil have health benefits. The impact of oil on human health depends on the type and amount consumed.",0,"Ingredient: oil, mandarin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1055,"oil, mid oleic sunflower",not harmful,"Mid oleic sunflower oil is high in monounsaturated fats which are known to have health benefits such as reducing bad cholesterol levels and lowering the risk of heart disease. It also contains vitamin E, which has antioxidant properties.",2,"Ingredient: oil, mid oleic sunflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1056,"oil, mushroom",controversial,"The impact of oil on human health depends on the type of oil consumed. While some oils like olive oil can have health benefits, others like palm oil can be harmful due to their high saturated fat content. Moderation and choosing healthier oil options can mitigate potential negative health effects.",0,"Ingredient: oil, mushroom
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1057,"oil, mustard",controversial,"Mustard oil is a controversial ingredient in terms of its impact on human health. While some studies suggest that it may have health benefits like improving heart health and lowering cholesterol levels, others raise concerns about its potential to cause irritation and harm due to the presence of erucic acid. Further research is needed to fully understand its effects on human health.",0,"Ingredient: oil, mustard
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1058,"oil, olive",not harmful,"Olive oil is a healthy source of monounsaturated fats, antioxidants, and vitamins. It has been linked to various health benefits such as reducing the risk of heart disease and inflammation.",2,"Ingredient: oil, olive
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1059,"oil, olive pomace",controversial,"There is debate over the health effects of olive pomace oil due to the extraction process which involves the use of solvents. Some studies suggest potential harmful effects from the residues left in the oil, while others argue that the final product is safe for consumption.",0,"Ingredient: oil, olive pomace
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1060,"oil, olive, extra virgin",not harmful,"Extra virgin olive oil is a healthy fat that is rich in monounsaturated fats and antioxidants, which have been linked to various health benefits such as reducing the risk of heart disease and inflammation. Consuming it in moderation as part of a balanced diet is considered beneficial for human health.",2,"Ingredient: oil, olive, extra virgin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1061,"oil, orange peel",controversial,"While some oils can be beneficial when consumed in moderation, others high in saturated fats may be harmful to cardiovascular health if consumed in excess.",0,"Ingredient: oil, orange peel
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1062,"oil, palm",harmful,"Palm oil, when consumed in large amounts, can contribute to health issues such as high cholesterol levels, increased risk of heart disease, and weight gain due to its high saturated fat content.",1,"Ingredient: oil, palm
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1063,"oil, palm kernel",harmful,Palm kernel oil is high in saturated fats which can lead to an increase in LDL cholesterol levels and risk of heart disease.,1,"Ingredient: oil, palm kernel
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1064,"oil, palm kernel, fractionated",harmful,Palm kernel oil is high in saturated fats which are known to increase LDL cholesterol levels and the risk of heart disease.,1,"Ingredient: oil, palm kernel, fractionated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1065,"oil, palm kernel, hydrogenated",harmful,Hydrogenated palm kernel oil contains trans fats which are known to increase bad cholesterol levels and the risk of heart disease. High consumption of hydrogenated oils has been linked to various health issues.,1,"Ingredient: oil, palm kernel, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1066,"oil, palm kernel, hydrogenated, modified",harmful,"Hydrogenated and modified palm kernel oil contains trans fats, which are known to be harmful to human health as they increase the risk of heart disease and have negative effects on cholesterol levels.",1,"Ingredient: oil, palm kernel, hydrogenated, modified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1067,"oil, palm kernel, modified",harmful,"Modified palm kernel oil is often hydrogenated or processed in a way that can result in the formation of harmful trans fats, which are known to have negative impacts on human health such as increasing the risk of heart disease.",1,"Ingredient: oil, palm kernel, modified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1068,"oil, palm kernel, partially hydrogenated",harmful,"Partially hydrogenated oils, including palm kernel oil, contain trans fats which have been linked to various health issues such as heart disease, inflammation, and elevated bad cholesterol levels.",1,"Ingredient: oil, palm kernel, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1069,"oil, palm stearin",controversial,"Palm stearin is derived from palm oil, which has been linked to health concerns such as high saturated fat content. However, palm oil also contains antioxidants and vitamins that can have health benefits. The impact of palm stearin on human health is debated, hence controversial.",0,"Ingredient: oil, palm stearin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1070,"oil, palm stearin, hydrogenated",harmful,"Hydrogenated palm stearin contains trans fats, which are known to raise levels of bad cholesterol and increase the risk of heart diseases. Consumption of trans fats should be minimized to protect cardiovascular health.",1,"Ingredient: oil, palm stearin, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1071,"oil, palm, dried",controversial,"Palm oil has been a topic of controversy due to its impact on the environment, specifically deforestation and habitat destruction. However, from a health perspective, dried palm oil, which is a solid fat at room temperature, contains high levels of saturated fats which can have negative effects on heart health if consumed in excess. It is still debated whether consuming palm oil specifically has a significant negative impact on human health.",0,"Ingredient: oil, palm, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1072,"oil, palm, fractionated",harmful,"Fractionated palm oil is high in saturated fats, specifically medium-chain triglycerides, which have been linked to increased risk of heart disease and obesity when consumed in excess.",1,"Ingredient: oil, palm, fractionated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1073,"oil, palm, hydrogenated",harmful,"Hydrogenated palm oil is high in trans fats, which have been linked to various health issues such as heart disease, high cholesterol levels, and increased risk of stroke. Consumption of hydrogenated oils should be limited to promote better health outcomes.",1,"Ingredient: oil, palm, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1074,"oil, palm, hydrogenated, modified",harmful,Hydrogenated and modified palm oil contains trans fats which are known to increase bad cholesterol levels and the risk of heart disease. It is considered harmful to human health.,1,"Ingredient: oil, palm, hydrogenated, modified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1075,"oil, palm, modified",harmful,Modified palm oil can contain trans fats which are known to increase the risk of heart disease and other health issues.,1,"Ingredient: oil, palm, modified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1076,"oil, palm, partially hydrogenated",harmful,Partially hydrogenated palm oil contains trans fats which are known to increase bad cholesterol levels and the risk of heart disease. Consumption of trans fats should be limited as much as possible.,1,"Ingredient: oil, palm, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1077,"oil, peach",controversial,"While some oils can have health benefits, others high in saturated and trans fats can be harmful if consumed in excess. It's important to choose oils wisely and consume them in moderation.",0,"Ingredient: oil, peach
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1078,"oil, peach kernel",controversial,"Peach kernel oil is generally safe for most people when taken by mouth or applied to the skin. However, consuming large amounts of peach kernels or their oil may release cyanide in the body, which can be harmful. It is recommended to use peach kernel oil in moderation and consult with a healthcare provider if concerned.",0,"Ingredient: oil, peach kernel
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1079,"oil, peanut",not harmful,"Peanut oil is a plant-based oil that is a good source of monounsaturated fats, vitamin E, and phytosterols, which can have potential health benefits such as reducing the risk of heart disease and inflammation. As long as individuals do not have an allergy to peanuts, peanut oil is considered a healthy option for cooking.",2,"Ingredient: oil, peanut
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1080,"oil, pimiento",controversial,"While some oils can have health benefits when consumed in moderation (e.g. olive oil), others high in saturated fats may have negative health impacts. The impact of oil on human health can vary depending on the type and amount consumed.",0,"Ingredient: oil, pimiento
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1081,"oil, pistachio",controversial,"The impact of oil on human health can vary depending on the type of oil. While some oils like olive oil are considered beneficial when consumed in moderation, other oils high in trans fats can be harmful to health.",0,"Ingredient: oil, pistachio
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1082,"oil, pumpkin seed",not harmful,"Pumpkin seed oil is a good source of healthy fats, vitamins, and minerals. It can have various health benefits, including promoting heart health, reducing inflammation, and supporting prostate health. Therefore, it is considered not harmful to human health when consumed in moderation.",2,"Ingredient: oil, pumpkin seed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1083,"oil, rapeseed",not harmful,"Rapeseed oil, also known as canola oil, is generally regarded as a healthy oil. It is high in unsaturated fats and low in saturated fats, making it beneficial for heart health. It also contains omega-3 fatty acids, which have anti-inflammatory properties.",2,"Ingredient: oil, rapeseed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1084,"oil, rapeseed, hydrogenated",harmful,"Hydrogenated rapeseed oil contains trans fats, which are known to increase the risk of heart disease, raise bad cholesterol levels, and lower good cholesterol levels. Consumption of trans fats should be minimized to protect human health.",1,"Ingredient: oil, rapeseed, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1085,"oil, rapeseed, hydrogenated, superglycerinated",harmful,Hydrogenated rapeseed oil contains trans fats which are known to increase bad cholesterol levels and the risk of heart disease.,1,"Ingredient: oil, rapeseed, hydrogenated, superglycerinated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1086,"oil, rapeseed, partially hydrogenated",harmful,"Partially hydrogenated rapeseed oil contains trans fats, which are known to increase the risk of heart disease, stroke, and other health issues. Consumption of trans fats should be minimized or avoided.",1,"Ingredient: oil, rapeseed, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1087,"oil, raspberry",not harmful,"Both oil and raspberry are generally considered to be safe and nutritious ingredients when consumed in moderation. Oil provides essential fatty acids while raspberry is a good source of vitamins, antioxidants, and fiber.",2,"Ingredient: oil, raspberry
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1088,"oil, rice",controversial,"The impact of oil on human health can vary depending on the type of oil consumed. While some oils like olive oil are considered beneficial in moderation, others like palm oil and partially hydrogenated oils can be harmful due to their high saturated fat content and association with heart disease.",0,"Ingredient: oil, rice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1089,"oil, rice bran",not harmful,"Rice bran oil is considered to be a healthy oil as it contains a good balance of polyunsaturated, monounsaturated, and saturated fats. It is also rich in antioxidants and has been linked to potential health benefits such as reducing cholesterol levels and inflammation.",2,"Ingredient: oil, rice bran
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1090,"oil, roman chamomile",controversial,"While some oils like olive oil are considered healthy in moderation, others like palm oil are linked to health issues such as high cholesterol. The classification varies depending on the type of oil.",0,"Ingredient: oil, roman chamomile
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1091,"oil, rose",not harmful,"Rose oil is commonly used in aromatherapy and skincare products, and there is no evidence to suggest it is harmful to human health when used appropriately. Similarly, oils such as olive, coconut, or sunflower are commonly used in cooking and also pose no harm when consumed in moderation.",2,"Ingredient: oil, rose
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1092,"oil, rosemary",not harmful,"Both oil and rosemary are generally considered not harmful to human health. Oil is a source of healthy fats when consumed in moderation, and rosemary is a herb with potential health benefits such as anti-inflammatory and antioxidant properties.",2,"Ingredient: oil, rosemary
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1093,"oil, safflower",not harmful,"Safflower oil is high in unsaturated fats, particularly linoleic acid, which can have positive effects on heart health when used in moderation as part of a balanced diet.",2,"Ingredient: oil, safflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1094,"oil, sage",controversial,"While some types of oil can be part of a healthy diet in moderation, excessive consumption of certain oils high in saturated fats can have harmful effects on cardiovascular health.",0,"Ingredient: oil, sage
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1095,"oil, sardine",controversial,"The impact of oil on human health depends on the type of oil used. While certain oils like olive oil can have health benefits, others like trans fats can be harmful. It is important to consider the specific type of oil being used.",0,"Ingredient: oil, sardine
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1096,"oil, sesame",not harmful,"Sesame oil is a healthy fat that contains beneficial nutrients like vitamin E and antioxidants. It is commonly used in cooking and has been linked to various health benefits, such as improved heart health and reduced inflammation.",2,"Ingredient: oil, sesame
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1097,"oil, shea nut",not harmful,"Shea nut oil is considered safe for most people and is often used in skincare products due to its moisturizing properties. It is rich in antioxidants and fatty acids, which can have beneficial effects on the skin. Therefore, it is classified as not harmful to human health.",2,"Ingredient: oil, shea nut
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1098,"oil, soybean",controversial,"Soybean oil is a major source of omega-6 fatty acids, which can be pro-inflammatory in excess. However, it also contains beneficial components like vitamin E and unsaturated fats. The debate on the health impact of soybean oil revolves around its high omega-6 content and concerns over genetically modified sources.",0,"Ingredient: oil, soybean
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1099,"oil, soybean, hydrogenated",harmful,Hydrogenated soybean oil contains trans fats which are known to increase bad cholesterol levels and the risk of heart disease. Consumption of hydrogenated oils should be minimized for better overall health.,1,"Ingredient: oil, soybean, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1100,"oil, soybean, interesterified",controversial,"Interesterified soybean oil has been associated with potential health concerns, including negative effects on cholesterol levels and potential impact on inflammation. However, more research is needed to fully understand the long-term health effects of interesterified oils.",0,"Ingredient: oil, soybean, interesterified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1101,"oil, soybean, partially hydrogenated",harmful,"Partially hydrogenated soybean oil contains trans fats, which are known to increase the risk of heart disease and have negative effects on cholesterol levels. Consumption of trans fats should be minimized to protect human health.",1,"Ingredient: oil, soybean, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1102,"oil, spearmint",controversial,"While certain oils like olive oil can have health benefits, others like palm oil are considered harmful due to high saturated fat content. The health impact of oil can vary depending on the type and amount consumed.",0,"Ingredient: oil, spearmint
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1103,"oil, star anise",controversial,"While certain types of oils like vegetable oils are considered harmful in excessive amounts due to their high levels of saturated and trans fats, other oils like olive oil are actually beneficial for health. The impact of oil on health can vary depending on the type and amount consumed, making it a controversial ingredient.",0,"Ingredient: oil, star anise
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1104,"oil, sunflower",not harmful,"Sunflower oil is rich in unsaturated fats, particularly monounsaturated and polyunsaturated fats, which are beneficial for heart health when consumed in moderation. It also contains vitamin E, an antioxidant that helps protect cells from damage.",2,"Ingredient: oil, sunflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1105,"oil, sunflower, hydrogenated",harmful,"Hydrogenated oils, including hydrogenated sunflower oil, contain trans fats which are known to raise 'bad' LDL cholesterol levels and lower 'good' HDL cholesterol levels, increasing the risk of heart disease. Consuming hydrogenated oils has been linked to various health issues such as inflammation, obesity, and insulin resistance.",1,"Ingredient: oil, sunflower, hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1106,"oil, sunflower, interesterified",controversial,"Interesterified sunflower oil is a modified form of oil that undergoes a rearrangement of fatty acids. Some studies suggest that interesterified oils may have negative impacts on cardiovascular health, although more research is needed to conclusively determine its overall effect on human health.",0,"Ingredient: oil, sunflower, interesterified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1107,"oil, sunflower, partially hydrogenated",harmful,"Partially hydrogenated oils contain trans fats, which have been linked to an increased risk of heart disease by raising LDL (bad) cholesterol and reducing HDL (good) cholesterol levels.",1,"Ingredient: oil, sunflower, partially hydrogenated
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1108,"oil, sweet bay leaf",controversial,"The impact of oil on human health can vary depending on the type of oil consumed. While some oils like olive oil can have health benefits, others high in saturated fats like palm oil can be harmful if consumed in excess. It is important to consider the quality and quantity of oil consumed in the diet.",0,"Ingredient: oil, sweet bay leaf
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1109,"oil, sweet birch",harmful,"Sweet birch oil contains methyl salicylate, which can be toxic when ingested in large amounts. It can lead to symptoms such as nausea, vomiting, abdominal pain, and can even be fatal in extreme cases.",1,"Ingredient: oil, sweet birch
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1110,"oil, tangerine",not harmful,Both oil and tangerine are generally considered to be safe for human consumption. Oil provides essential fats and tangerine is a good source of vitamins and antioxidants.,2,"Ingredient: oil, tangerine
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1111,"oil, tarragon",controversial,"While some oils can have health benefits when consumed in moderation, others high in saturated fats may be harmful if consumed in excess. The impact of oil on health can vary depending on the type and quantity consumed.",0,"Ingredient: oil, tarragon
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1112,"oil, tea tree",not harmful,"Tea tree oil has antibacterial and anti-inflammatory properties, making it beneficial for skincare and treating certain skin conditions. It is generally considered safe when used topically in appropriate dilutions.",2,"Ingredient: oil, tea tree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1113,"oil, thyme",not harmful,Both oil and thyme are commonly used in cooking and have been shown to have health benefits when consumed in moderation. Oil provides essential fatty acids and thyme is rich in antioxidants and has anti-inflammatory properties.,2,"Ingredient: oil, thyme
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1114,"oil, vegetable",controversial,"The impact of vegetable oil on human health is controversial. While it is a source of unsaturated fats, which can be beneficial for heart health, some studies suggest that certain vegetable oils high in omega-6 fatty acids may promote inflammation when consumed in excess.",0,"Ingredient: oil, vegetable
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
